"","week","month","item_no","diff","type","total_sold"
"143",23,6,"04002032",-38.4179030862981,"Actual",0
"144",23,6,"04002032",-38.4179030862981,"Predicted",38.4179030862981
"145",24,6,"04002032",39.608849706826,"Actual",80
"146",24,6,"04002032",39.608849706826,"Predicted",40.391150293174
"147",25,6,"04002032",-40.0302046778624,"Actual",0
"148",25,6,"04002032",-40.0302046778624,"Predicted",40.0302046778624
"149",26,6,"04002032",-39.9831424418106,"Actual",0
"150",26,6,"04002032",-39.9831424418106,"Predicted",39.9831424418106
"151",27,7,"04002032",-39.9488694157535,"Actual",0
"152",27,7,"04002032",-39.9488694157535,"Predicted",39.9488694157535
"153",28,7,"04002032",-37.9972291574218,"Actual",0
"154",28,7,"04002032",-37.9972291574218,"Predicted",37.9972291574218
"155",29,7,"04002032",-37.9972291574218,"Actual",0
"156",29,7,"04002032",-37.9972291574218,"Predicted",37.9972291574218
"157",30,7,"04002032",-37.9972291574218,"Actual",0
"158",30,7,"04002032",-37.9972291574218,"Predicted",37.9972291574218
"159",31,7,"04002032",-37.9972291574218,"Actual",0
"160",31,7,"04002032",-37.9972291574218,"Predicted",37.9972291574218
"161",32,8,"04002032",-37.5811615849631,"Actual",0
"162",32,8,"04002032",-37.5811615849631,"Predicted",37.5811615849631
"163",33,8,"04002032",-37.5811615849631,"Actual",0
"164",33,8,"04002032",-37.5811615849631,"Predicted",37.5811615849631
"165",34,8,"04002032",-37.5811615849631,"Actual",0
"166",34,8,"04002032",-37.5811615849631,"Predicted",37.5811615849631
"167",35,8,"04002032",-37.5811615849631,"Actual",0
"168",35,8,"04002032",-37.5811615849631,"Predicted",37.5811615849631
"169",36,9,"04002032",-37.1696499295724,"Actual",0
"170",36,9,"04002032",-37.1696499295724,"Predicted",37.1696499295724
"171",37,9,"04002032",-37.1696499295724,"Actual",0
"172",37,9,"04002032",-37.1696499295724,"Predicted",37.1696499295724
"173",38,9,"04002032",-37.1696499295724,"Actual",0
"174",38,9,"04002032",-37.1696499295724,"Predicted",37.1696499295724
"175",39,9,"04002032",-37.1696499295724,"Actual",0
"176",39,9,"04002032",-37.1696499295724,"Predicted",37.1696499295724
