"",".pred","item_no","week","sold","year_total","best_seller","year","calendar_week","calendar_year","date","wk_ending_year","month","lag1","lag2","rolling_4wk_avg"
"108",28.6229364867831,"AS40010RD04.750",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"109",28.6229364867831,"AS40010RD04.875",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"110",122.406551628171,"BF000230-167",9,0,9648,1,2022,9,2022,2022-02-27,2022,2,0,0,0
"111",72.73606775473,"BF000230-170",9,768,4608,0,2022,9,2022,2022-02-27,2022,2,0,0,384
"112",28.6229364867831,"BF001053",9,0,642,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"113",28.6229364867831,"BF001574",9,0,1400,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"114",28.6229364867831,"BN5NMO552NA",9,0,2250,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"115",28.6229364867831,"BNMO150P2NA",9,0,900,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"116",28.6229364867831,"BNMO150P3PWE",9,0,1460,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"117",28.6229364867831,"BNMO200P3PA",9,0,1500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"118",28.7806042679607,"BNMO200P4PA",9,0,550,0,2022,9,2022,2022-02-27,2022,2,50,0,12.5
"119",28.6229364867831,"BNMO25P3D",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"120",28.6229364867831,"BPEM200P1SC",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"121",30.4147109999066,"BPEM400P1P",9,0,1450,0,2022,9,2022,2022-02-27,2022,2,0,0,25
"122",28.6229364867831,"BPENF50P2RDWE",9,0,1550,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"123",28.6229364867831,"BPENG200P2PWE",9,0,2800,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"124",28.7806042679607,"BPENG25P2P",9,0,700,0,2022,9,2022,2022-02-27,2022,2,50,0,12.5
"125",28.6229364867831,"BPENG25P2PWE",9,0,2000,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"126",28.6229364867831,"BPENG25P2RP",9,0,600,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"127",31.3522308178662,"BPONG100P2PWE",9,150,5350,0,2022,9,2022,2022-02-27,2022,2,0,0,37.5
"128",36.5865778205016,"BPONG10P2PWE",9,100,4150,0,2022,9,2022,2022-02-27,2022,2,300,0,162.5
"129",158.388811924507,"BPONG1P2PWE",9,200,7150,1,2022,9,2022,2022-02-27,2022,2,0,50,112.5
"130",141.978554499599,"BPONG25P2PWE",9,0,6500,1,2022,9,2022,2022-02-27,2022,2,0,500,125
"131",28.6229364867831,"BPONG3P2PWE",9,0,800,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"132",177.659569007681,"BPONG50P2PWE",9,100,10500,1,2022,9,2022,2022-02-27,2022,2,100,400,225
"133",28.6229364867831,"BPONG5P4P",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"134",28.6229364867831,"C10PD1224",9,0,920,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"135",28.6229364867831,"C10PD16342634",9,0,700,0,2022,9,2022,2022-02-27,2022,2,0,0,0
